line_id,stem_id,azimuth,polar,frame_num,dist_lidar,reflectivity,oldX,oldY,oldZ,old_relative_z,Count,X,Y,Z,relative_z
0,10001,3.009071,-13.0,194.0,5.242,5.0,0.0,0.0,0.0,0.137827,1,0.00564102546717876,0.022393161717515726,0.04076922974652714,0.17859622380799717
1,10001,2.071255,-11.0,556.0,3.92,13.0,0.01812315,0.03949547,0.00014978,0.137977,1,0.005559047556713097,0.0237689725895468,0.04151730031224314,0.17934452436673337
2,10001,-2.752384,-15.0,294.0,6.04,6.0,-0.01800108,-0.02842521,0.00061542,0.062234,1,0.003647271564209853,0.01805830607702444,0.035230803672495495,0.09684938304945008
3,10001,-2.996993,-15.0,254.0,5.286,26.0,0.00559854,0.00404883,0.00089037,0.138718,1,0.001325035726444589,0.02695481211711199,0.04148865960395107,0.17931628370514283
4,10001,3.010468,-13.0,165.0,5.22,10.0,0.01175117,0.041574,0.00128579,0.139113,1,0.008191848268448296,0.02521806930081319,0.04230273814114221,0.18012994221585282
5,10001,3.016046,-13.0,203.0,5.226,19.0,0.03064918,0.03808737,0.00163799,0.139465,1,0.008214397453095601,0.02243519799540872,0.042159728131904876,0.1799867423332256
6,10001,2.018996,-9.0,536.0,4.714,7.0,0.02686452,0.06665564,0.00227928,0.140107,1,0.0061782452588280065,0.02557721076642766,0.042671435855000335,0.18049916170318336
7,10001,2.136232,-13.0,564.0,3.648,1.0,0.03681802,-0.03027105,0.00238734,0.064006,1,0.005020267926575089,0.018043555926238554,0.03587048512025412,0.09748914592972632
8,10001,3.029754,-13.0,154.0,5.222,22.0,-0.00626851,0.03253842,0.00388181,0.141709,1,0.009885335615716685,0.026042694926389262,0.044480099611414164,0.1823072894834555
9,10001,3.028262,-13.0,131.0,5.156,19.0,-0.0283804,0.02683974,0.00405884,0.141886,1,0.006489164835732919,0.02005713185214478,0.044406665323059195,0.18223382096899593
10,10001,2.204962,-15.0,571.0,3.33,19.0,0.00385665,0.05305243,0.00423813,0.142065,1,0.01052331655787734,0.02698405531163399,0.044921889737980746,0.18274876319317737
